"Area","AreaName","StateAb","State","CountyTownName"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","UNION"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","VAN BUREN"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","WAPELLO"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","WAYNE"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","WEBSTER"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","WINNEBAGO"
"1900001","Northeast Iowa nonmetropolitan area","IA","IOWA","WINNESHIEK"
"1900001","Northeast Iowa nonmetropolitan area","IA","IOWA","WORTH"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","WRIGHT"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","ALLEN"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","ANDERSON"
"2000003","Northeast Kansas nonmetropolitan area","KS","KANSAS","ATCHISON"
"2000001","Southwest Kansas nonmetropolitan area","KS","KANSAS","BARBER"
"2000002","Northwest Kansas nonmetropolitan area","KS","KANSAS","BARTON"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","BOURBON"
"2000003","Northeast Kansas nonmetropolitan area","KS","KANSAS","BROWN"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","CHASE"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","CHAUTAUQUA"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","CHEROKEE"
"2000002","Northwest Kansas nonmetropolitan area","KS","KANSAS","CHEYENNE"
"2000001","Southwest Kansas nonmetropolitan area","KS","KANSAS","CLARK"
"2000003","Northeast Kansas nonmetropolitan area","KS","KANSAS","CLAY"
"2000003","Northeast Kansas nonmetropolitan area","KS","KANSAS","CLOUD"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","COFFEY"
"2000001","Southwest Kansas nonmetropolitan area","KS","KANSAS","COMANCHE"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","COWLEY"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","CRAWFORD"
"2000002","Northwest Kansas nonmetropolitan area","KS","KANSAS","DECATUR"
"2000003","Northeast Kansas nonmetropolitan area","KS","KANSAS","DICKINSON"
"2000001","Southwest Kansas nonmetropolitan area","KS","KANSAS","EDWARDS"
"2000004","Southeast Kansas nonmetropolitan area","KS","KANSAS","ELK"
"2000002","Northwest Kansas nonmetropolitan area","KS","KANSAS","ELLIS"
"2000003","Northeast Kansas nonmetropolitan area","KS","KANSAS","ELLSWORTH"
"2000001","Southwest Kansas nonmetropolitan area","KS","KANSAS","FINNEY"
"2000001","Southwest Kansas nonmetropolitan area","KS","KANSAS","FORD"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (SOUTH AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (CENTRAL AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (CENTRAL AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (CENTRAL AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (NORTHWEST AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (CENTRAL AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (NORTHWEST AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (SQUARE LAKE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (SQUARE LAKE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (CENTRAL AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (NORTHWEST AROOSTOOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","AROOSTOOK (SOUTH AROOSTOOK)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","CUMBERLAN (BRIDGTON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","CUMBERLAN (BRUNSWICK)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","CUMBERLAN (HARPSWELL)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","CUMBERLAN (HARRISON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (AVON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (CARRABASSETT VALLEY)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (CARTHAGE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (CHESTERVILLE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (COPLIN PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (DALLAS PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (EUSTIS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (FARMINGTON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (INDUSTRY)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (JAY)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (KINGFIELD)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (MADRID)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NEW SHARON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NEW VINEYARD)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (PHILLIPS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (RANGELY TOWN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (RANGELY PLT)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (SANDY RIVER PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (STRONG)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (TEMPLE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (WELD)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (WILTON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (WEST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (WEST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (EAST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (EAST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (SOUTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (EAST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (EAST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (CARRABASSETT VALLEY)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (NORTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (WEST CENTRAL FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (SOUTH FRANKLIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","FRANKLIN (WYMAN - UNORG TS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (BAR HARBOR)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (BLUE HILL)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (BROOKLIN)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (BROOKSVILLE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (BUCKSPORT)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (CASTINE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (CRANBERRY ISLES)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (DEER ISLE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (EASTBROOK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (ELLSWORTH)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (FRANKLIN)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (GOULDSBORO)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (GREAT POND PLANTATION)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (HANCOCK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (LAMOINE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (FRENCHBORO)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (MARIAVILLE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (MOUNT DESERT)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (ORLAND)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (PENOBSCOT)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (SEDGWICK)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (SORRENTO)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (SOUTHWEST HARBOR)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (STONINGTON)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (SULLIVAN)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (SURRY)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (SWANS ISLAND)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","HANCOCK (TREMONT)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (BEAVER COVE)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHWEST PISCATAQUIS)"
"2300001","Northeast Maine nonmetropolitan area","ME","MAINE","PISCATAQUIS (NORTHEAST PISCATAQUIS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (ARROWSIC)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (BATH)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (BOWDOIN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (BOWDOINHAM)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (GEORGETOWN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (PHIPPSBURG)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (RICHMOND)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (TOPSHAM)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (WEST BATH)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (WOOLWICH)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SAGADAHOC (PERKINS - UNORG TS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (ANSON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (ATHENS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (BINGHAM)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (BRIGHTON PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (CAMBRIDGE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (CANAAN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (CARATUNK PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (CORNVILLE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (DENNISTOWN PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (DETROIT)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (EMBDEN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (FAIRFIELD)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (HARMONY)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (HARTLAND)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (HIGHLAND PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (JACKMAN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (MADISON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (MERCER)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (MOOSE RIVER)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (MOSCOW)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NEW PORTLAND)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORRIDGEWOCK)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (PALMYRA)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (PITTSFIELD)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (PLEASANT RIDGE PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (RIPLEY)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (ST ALBANS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SKOWHEGAN)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SMITHFIELD)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SOLON)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (STARKS)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (THE FORKS PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (WEST FORKS PLANTATION)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHEAST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHEAST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHEAST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHEAST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (CENTRAL SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHEAST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (SEBOOMOOK LAKE)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2300002","Southwest Maine nonmetropolitan area","ME","MAINE","SOMERSET (NORTHWEST SOMERSET)"
"2500003","Northwest Massachusetts nonmetropolitan area","MA","MASSACHUSETTS","FRANKLIN (ROWE)"
